,cep,cidade,uf,latitude,longitude,SK_Localizacoes
0,99990,muliterno,RS,-28.329594612121586,-51.76936149597168,1
1,99980,david canabarro,RS,-28.3891291985145,-51.8438359774076,2
2,99970,ciriaco,RS,-28.343838500976563,-51.8746223449707,3
3,99970,ciríaco,RS,-28.34232521057129,-51.87602233886719,4
4,99965,agua santa,RS,-28.18337217966716,-52.03985087076823,5
5,99960,charrua,RS,-27.953721618652345,-52.02551193237305,6
6,99955,vila langaro,RS,-28.11077671051025,-52.14372291564941,7
7,99955,vila lângaro,RS,-28.126163482666016,-52.14444732666016,8
8,99952,santa cecilia do sul,RS,-28.171198844909668,-51.90856742858887,9
9,99950,tapejara,RS,-28.06895861906164,-52.01206793192944,10
10,99940,ibiaca,RS,-28.057343329152754,-51.85598619522587,11
11,99940,ibiaçá,RS,-28.056610425313316,-51.85683441162109,12
12,99930,estacao,RS,-27.91383217120993,-52.25914935407968,13
13,99930,estação,RS,-27.916710535685223,-52.25523249308268,14
14,99925,ipiranga do sul,RS,-27.93672604031033,-52.42664464314779,15
15,99920,erebango,RS,-27.85525369644165,-52.30090618133545,16
16,99910,floriano peixoto,RS,-27.8589604695638,-52.075286865234375,17
17,99900,getulio vargas,RS,-27.88676527069836,-52.22840127712343,18
18,99900,getúlio vargas,RS,-27.886073303222656,-52.22879409790039,19
19,99895,santo expedito do sul,RS,-27.930038070678712,-51.65968093872071,20
20,99890,maximiliano de almeida,RS,-27.63177846825641,-51.80471967614216,21
21,99880,machadinho,RS,-27.56786012649536,-51.668006896972656,22
22,99878,tupanci do sul,RS,-27.922619819641117,-51.53873062133789,23
23,99870,sao jose do ouro,RS,-27.81340283763652,-51.58352412009726,24
24,99870,são josé do ouro,RS,-28.22743511199951,-51.48959255218506,25
25,99860,cacique doble,RS,-27.772162605734437,-51.66196037741268,26
26,99855,sao joao da urtiga,RS,-27.99637010362413,-52.22676595052084,27
27,99855,são joão da urtiga,RS,-27.816570663452147,-51.83005294799805,28
28,99850,paim filho,RS,-27.71013710715554,-51.76330462369052,29
29,99840,sananduva,RS,-27.950143232578185,-51.80988623456257,30
30,99839,gaurama,RS,-27.586950302124023,-52.09247970581055,31
31,99838,centenario,RS,-27.765792846679688,-52.00371742248535,32
32,99835,aurea,RS,-27.69549306233724,-52.05341498057047,33
33,99835,áurea,RS,-27.695009231567383,-52.05507659912109,34
