,id_produto,categoria,tamanho_nome,tamanho_descricao,quantidade_fotos,peso_g,comprimento_cm,altura_cm,largura_cm,SK_Produto
0,96bd76ec8810374ed1b65e291975717f,esporte_lazer,46.0,250.0,1.0,154,18,9,15,1
1,cef67bcfe19066a932b7673e239eb23d,bebes,27.0,261.0,1.0,371,26,4,26,2
2,9dc1a7de274444849c219cff195d0b71,utilidades_domesticas,37.0,402.0,4.0,625,20,17,13,3
3,cf55509ea8edaaac1d28fdb16e48fc22,instrumentos_musicais,43.0,1827.0,3.0,250,17,7,17,4
4,eb31436580a610f202c859463d8c7415,construcao_ferramentas_seguranca,59.0,1602.0,4.0,200,17,7,17,5
5,a1b71017a84f92fd8da4aeefba108a24,informatica_acessorios,59.0,636.0,1.0,900,40,15,20,6
6,a0736b92e52f6cead290e30b578413b6,moveis_decoracao,56.0,296.0,2.0,1700,100,7,15,7
7,f53103a77d9cf245e579ea37e5ec51f0,cama_mesa_banho,52.0,206.0,1.0,500,16,10,16,8
8,e3e020af31d4d89d2602272b315c3f6e,beleza_saude,58.0,1987.0,3.0,75,21,7,13,9
9,d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,56.0,209.0,1.0,1800,40,10,30,10
10,f6574524b07d5bb753bab6f35abe2d06,malas_acessorios,52.0,573.0,5.0,3600,35,25,50,11
11,c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,35.0,1101.0,2.0,300,42,2,30,12
12,a0253d43394dd4da9a5d7b1f546f1a32,informatica_acessorios,59.0,1890.0,2.0,740,23,13,13,13
13,e1d1d22e9f8122a4ec1533b032c12562,ferramentas_jardim,49.0,1163.0,9.0,2150,70,8,34,14
14,ce5b91848b91118daffb3af53b747475,esporte_lazer,50.0,699.0,4.0,1388,34,9,31,15
15,b8dac5113b06a97e64943234522572b9,automotivo,43.0,1062.0,2.0,6000,87,3,42,16
16,e6af694343b45b56304ad91974a110b9,utilidades_domesticas,37.0,352.0,1.0,3900,19,20,15,17
17,db46052aed7dff59ba38cf2fe29b87f9,cama_mesa_banho,56.0,509.0,4.0,6350,45,15,35,18
18,b864b103180d5a6a3f830e67f93e8735,bebes,47.0,980.0,4.0,600,70,11,11,19
19,bbf920aa6ac72007a726e6f419156f8f,moveis_decoracao,42.0,303.0,2.0,1300,25,16,25,20
20,c3b7e4d83e530c27a8e6368296aece48,moveis_decoracao,60.0,1972.0,2.0,850,69,11,11,21
21,c5d8079278e912d7e3b6beb48ecb56e8,beleza_saude,60.0,330.0,1.0,1300,19,28,17,22
22,b5cfb1d3c5e435a7a52227e08f220ee7,cool_stuff,55.0,410.0,2.0,1300,36,16,24,23
23,92bf5d2084dfbcb57d9db7838bac5cd0,telefonia,51.0,427.0,2.0,100,19,3,11,24
24,fdeb34a9f03fea7c3937dd62d1d0287e,cool_stuff,58.0,1252.0,1.0,1100,30,20,23,25
25,f8f6fd145cc00519283cf3100477b2b3,esporte_lazer,47.0,956.0,1.0,1050,25,20,14,26
26,dc21247da0290904ffbbcd5953c76f95,papelaria,41.0,92.0,1.0,100,16,5,16,27
27,9020ce7adcc384b2899ae87ddc54767b,papelaria,43.0,198.0,2.0,300,23,7,15,28
28,bfc1d1c62b1f7f401d8d9dda962bb870,esporte_lazer,50.0,255.0,2.0,950,60,15,15,29
29,94080f9219044d897195e2be145945dc,automotivo,60.0,1543.0,6.0,921,17,9,16,30
30,d0389f20b3d11de54e1e4561df147683,casa_construcao,55.0,1441.0,1.0,10000,60,25,25,31
31,a3a03c131926ec14d4c9f3ef03016b24,pet_shop,54.0,463.0,1.0,700,40,20,20,32
32,e586ebb6022265ae1eea38f46ffe3ead,beleza_saude,40.0,1469.0,3.0,1050,18,21,27,33
33,be1be330cf34043d1c40d6114cbd11b5,relogios_presentes,51.0,484.0,1.0,317,19,13,16,34
34,a3c95dc653d9a279b160bc0179385ed1,cama_mesa_banho,39.0,1146.0,1.0,1750,30,18,30,35
35,b1eae565a61935e0011ee7682fef9dc9,perfumaria,49.0,460.0,2.0,267,17,13,17,36
36,c2367eda4f9623d0355dc5d7796d857a,cama_mesa_banho,50.0,607.0,1.0,6450,100,10,11,37
37,c478b1bbf9ec8c5691f37ccb83187386,informatica_acessorios,55.0,163.0,2.0,300,25,8,18,38
38,f9ecf420c38b90a8af8e7f70fd789264,esporte_lazer,43.0,101.0,1.0,600,50,10,12,39
39,adf591c625cb265c12bc6749d3a2f757,beleza_saude,60.0,1146.0,6.0,150,20,24,33,40
40,af16005fca813272caf59c432153949e,moveis_decoracao,55.0,1186.0,2.0,800,53,8,20,41
41,e6a1ff3552ba3305c1cf0a4dde50347f,automotivo,58.0,703.0,6.0,5250,47,19,23,42
42,d8a405c732027a2af3187b031890933d,automotivo,50.0,361.0,1.0,200,35,4,26,43
43,ce94e3c41145e28428cdae952a1fd7f2,relogios_presentes,58.0,899.0,2.0,335,17,11,12,44
44,a2e2851eae0aebb8ee4df32348b42e2b,informatica_acessorios,59.0,504.0,3.0,367,16,4,11,45
45,b2b3503e675abbc07e278151da072ed2,moveis_decoracao,46.0,287.0,1.0,8500,75,25,55,46
46,c18c01e09509a509e2b88d3ed40c580e,bebes,46.0,1039.0,1.0,2150,42,25,15,47
47,a41e356c76fab66334f36de622ecbd3a,,,,,650,17,14,12,48
48,e7cad5e8ed9b92e788262ad710c33bd0,esporte_lazer,56.0,663.0,4.0,150,16,5,11,49
49,c33d78b97260227119fb2b71be168fca,cama_mesa_banho,39.0,170.0,1.0,650,27,10,22,50
50,e8fd6f481db77b847e7ab93fa1510e7e,eletroportateis,53.0,794.0,4.0,2700,20,26,32,51
51,e8e86cbab028363545a5bf0ca5e226ee,moveis_sala,36.0,312.0,2.0,6050,55,10,46,52
52,c12b64bf0861a27e0f06c36ef82f457d,esporte_lazer,53.0,425.0,1.0,150,16,6,11,53
53,b6f3b8136ba8302906df7e11ff908751,pet_shop,36.0,617.0,1.0,1350,23,7,30,54
54,8efa775719397f78f79c8e5c7b0afbd4,moveis_decoracao,22.0,275.0,1.0,1000,30,18,18,55
55,9e87e3ee09baee5f5c0513ff37bc60ab,cama_mesa_banho,58.0,381.0,2.0,1550,43,8,33,56
56,a0abcee0132a5aed003d98e459b37698,cama_mesa_banho,58.0,223.0,1.0,2700,45,13,35,57
57,8da90b37f0fb171b4877c124f965b1f6,perfumaria,56.0,733.0,3.0,377,18,13,15,58
58,c5fb7fbe39f4e09e048ffbc5b28db49a,sinalizacao_e_seguranca,51.0,1212.0,1.0,450,16,5,16,59
59,f17b05cc8a7651896df8c30884200e9a,climatizacao,30.0,547.0,1.0,2000,32,51,16,60
60,c190c4fe582c5b7ffff586506de83f01,moveis_decoracao,34.0,160.0,1.0,250,26,14,14,61
61,f908df99196805b5bc4ada9ef510b11b,esporte_lazer,57.0,245.0,2.0,1950,60,15,15,62
62,ac5bae85a895724330c4acddd581b02b,telefonia,50.0,1254.0,2.0,500,16,15,11,63
63,d8dee61c2034d6d075997acef1870e9b,,,,,300,16,7,20,64
64,cbaff83e2c00a2b731d27276bbf52082,artes,59.0,1431.0,6.0,7900,70,15,70,65
65,ad67f74682943e3857eebf3ca2538d1a,cama_mesa_banho,53.0,261.0,2.0,1800,41,9,34,66
66,acd427ee119d5c71c7a85ae488cb0a6a,fashion_bolsas_e_acessorios,52.0,68.0,7.0,200,16,2,11,67
67,bb09cce52b336261572a5a7e25a33795,utilidades_domesticas,59.0,943.0,1.0,550,16,25,12,68
68,f2396540fbfac27b5117f0dbd6744b50,cama_mesa_banho,53.0,222.0,1.0,3600,40,20,40,69
69,bcd58b852a3b0152b6b384c4e4474ba2,cool_stuff,59.0,797.0,2.0,1400,25,20,20,70
70,8d6cb00151d423c52855385c89f0bae8,automotivo,58.0,386.0,1.0,27100,50,50,50,71
71,e0bbe6292471ff5ab3752414baf78111,relogios_presentes,43.0,572.0,2.0,500,16,11,11,72
72,dd768d259ee6054e0dadd66c8e2be0b6,cama_mesa_banho,52.0,700.0,2.0,350,16,10,16,73
73,fc2edee55f4118969f4dc49f7a717605,automotivo,47.0,1548.0,3.0,500,16,12,17,74
74,b521fddf2c8a7e7d1791bfb3c1b2f278,esporte_lazer,55.0,448.0,1.0,1000,20,20,20,75
75,db7e6804f1a8206a7e51c9a741a09d9e,brinquedos,51.0,410.0,2.0,300,24,11,24,76
76,e869d449cc32881790ef9af9b4c670f8,moveis_escritorio,50.0,2220.0,1.0,15700,58,28,58,77
77,a1b3a75aaaee5c9a683f2266c088f720,relogios_presentes,53.0,599.0,2.0,350,16,11,11,78
78,f9471562478eba8761bc985b968a0092,utilidades_domesticas,38.0,390.0,1.0,850,18,21,15,79
79,e96bac5656eaec25f3d76757fa16d9d3,casa_construcao,55.0,918.0,6.0,1050,16,20,16,80
80,c7147724cd430269c6296fc758c0a086,utilidades_domesticas,32.0,42.0,1.0,300,16,15,11,81
81,dbb399a8be7395d5b136d49fcdce13df,informatica_acessorios,47.0,764.0,1.0,200,23,9,13,82
82,ed46d1fbd7bf78ce79910c09fb892abb,esporte_lazer,52.0,406.0,1.0,800,20,25,25,83
83,d458378a178cd7cae60052319cebf235,papelaria,50.0,198.0,2.0,200,24,7,14,84
84,8c9faf6aabee9b2a30b83f92d786f6de,livros_interesse_geral,50.0,2913.0,3.0,1000,24,5,17,85
85,8e71b24c3e25a92fef6176120a67fac7,informatica_acessorios,53.0,585.0,1.0,783,21,13,28,86
86,df473738565b52f77b4e22b328b41576,construcao_ferramentas_ferramentas,42.0,369.0,1.0,400,16,2,11,87
87,a388f2043ca885de714453e4fac616e2,telefonia,50.0,744.0,1.0,100,16,3,11,88
88,a85543a371d5cfafedb80a8177a692b5,utilidades_domesticas,59.0,470.0,2.0,750,34,14,24,89
89,9aa70106d14b83c7ad033592870b2b30,utilidades_domesticas,22.0,388.0,3.0,530,17,20,20,90
90,a04cf12934a318be6550b1aeab938bf2,fashion_calcados,59.0,605.0,5.0,4000,57,14,36,91
91,b29ca3d3127057c43ef4b364bbe360ea,beleza_saude,55.0,1029.0,1.0,1150,20,25,20,92
92,a5bc1334f1762ce0a844f3f694dc08e1,cama_mesa_banho,48.0,645.0,1.0,1200,16,10,16,93
93,c45a1de8cdb00af9ba1f3c097561b77a,cama_mesa_banho,55.0,315.0,2.0,1000,30,10,25,94
94,f4d705aa95ccca448e5b0deb6e5290ba,cama_mesa_banho,57.0,74.0,1.0,250,20,2,15,95
95,bbaef2eadf31fe3ea6702077398be06c,perfumaria,45.0,1003.0,2.0,400,18,11,11,96
96,f6691c7e7a0c12d28003c97608dfe605,fashion_roupa_masculina,47.0,1026.0,2.0,950,40,6,40,97
97,c615805546392ec3b8a20c6590c4d400,pet_shop,54.0,261.0,6.0,2000,30,34,17,98
98,e07f6e9343cad06f34d0a7a09eeac4d7,beleza_saude,60.0,537.0,1.0,667,17,16,16,99
99,9cafef108028ea326352e901a8b729a7,cama_mesa_banho,60.0,609.0,2.0,1750,45,20,40,100
100,dd783a33bc94bef9c728611320d559e7,beleza_saude,52.0,1113.0,1.0,150,16,12,11,101
101,ec019a7e1feb42072e2a07b6317c7edb,brinquedos,48.0,135.0,1.0,10550,65,7,45,102
102,fff0a542c3c62682f23305214eaeaa24,papelaria,23.0,146.0,3.0,300,30,10,20,103
103,d801448d8cf48fd15a66dc8779d47241,relogios_presentes,47.0,687.0,1.0,267,17,11,13,104
104,d1fbb5683c8e93f314d0f2bf40d07761,cama_mesa_banho,53.0,155.0,2.0,1500,39,12,25,105
105,aedb7e30007f6051c5b3f97156b0848a,artes,32.0,195.0,1.0,150,25,2,19,106
106,c752f2bc46ad4b389290cf5828a1db62,beleza_saude,40.0,654.0,1.0,650,25,13,14,107
107,ecaae002060173ec59f5b168cbd55d70,automotivo,51.0,1741.0,1.0,825,20,24,15,108
108,9e48435521202c8795e21ac42efcc761,informatica_acessorios,31.0,432.0,1.0,600,46,3,15,109
109,f46c384460008df0071849d01b39834f,esporte_lazer,53.0,527.0,2.0,700,23,9,11,110
110,e10758160da97891c2fdcbc35f0f031d,,,,,2200,16,2,11,111
111,dccef777bc505f2eca720502c209988d,eletrodomesticos,56.0,173.0,1.0,150,18,8,13,112
112,b6be875acca0b4862cae6479c5d9e6fa,ferramentas_jardim,49.0,192.0,1.0,200,16,3,11,113
113,93c285dad77a797cf2193ead6afbe107,utilidades_domesticas,53.0,524.0,1.0,1800,25,7,20,114
114,d394d30215872be4cda2c67c1ce5b981,esporte_lazer,37.0,621.0,5.0,250,20,20,20,115
115,9181a16945ef449aa81212d5139945ec,bebes,58.0,1261.0,3.0,6950,85,11,50,116
116,b166907a5770631b7deedd0891b1b7ab,utilidades_domesticas,57.0,1094.0,1.0,1100,55,5,40,117
117,98190f6a2c3253d07ca86525bb238162,eletronicos,25.0,813.0,1.0,1836,61,6,24,118
118,a18a23a783fb7576a8f0f6fbc2ae2b58,beleza_saude,59.0,822.0,1.0,175,18,22,16,119
119,e2c3ed9aaddfd2312a6a5fe9b3ddadd3,brinquedos,53.0,579.0,1.0,675,22,24,21,120
120,a1bf559ac1eab015ba992bd76d9d76c7,informatica_acessorios,32.0,1074.0,2.0,200,39,2,30,121
121,eca3036ef7ba11b3331c334b7053fe13,telefonia,51.0,443.0,1.0,117,19,4,12,122
122,9138555a5066b7f16bf15e75c7db067c,construcao_ferramentas_iluminacao,57.0,919.0,6.0,540,16,27,16,123
123,c9fe02894880831f6f28d5ac212d036f,construcao_ferramentas_seguranca,51.0,1006.0,3.0,314,20,19,18,124
124,98d0e0ca6213edc063889593a2475e36,automotivo,55.0,978.0,1.0,13825,70,35,49,125
125,f2c1df0fc307ec60e3321c708c1dcac3,cama_mesa_banho,42.0,431.0,1.0,850,40,6,50,126
126,cd7701670288642f7be9437dec9034c1,perfumaria,48.0,606.0,2.0,400,16,20,15,127
127,d68bd4dedccc5545b1ff6629de8fb021,informatica_acessorios,53.0,813.0,4.0,1950,17,11,12,128
128,e4c0d69bafff0157f574aae9a147a8c1,moveis_decoracao,49.0,607.0,1.0,300,35,10,25,129
129,b6b4ab44d1f3c2a645abbda76af2a993,relogios_presentes,54.0,364.0,1.0,1050,30,45,11,130
130,d19d6968c8fa843da04bf9c9d23c312f,automotivo,53.0,1373.0,4.0,400,16,7,11,131
131,de984954e2e130136bcf8988bc973d90,instrumentos_musicais,40.0,234.0,1.0,1000,56,9,22,132
132,c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,39.0,772.0,1.0,150,16,16,11,133
133,d10abea506594de1dd5ea21851f94062,beleza_saude,60.0,876.0,1.0,700,16,16,16,134
134,aba0932cedf32b2a7b6b832f11769613,beleza_saude,29.0,556.0,1.0,2000,30,12,16,135
135,f777c903946dd86fd00cd5b32ec3e907,construcao_ferramentas_construcao,57.0,954.0,4.0,21400,20,20,20,136
136,f16ced867a24a244afefb5b867f337df,fashion_bolsas_e_acessorios,38.0,487.0,2.0,13600,26,60,40,137
137,a530b23a71594d0d986a30359e207762,moveis_decoracao,49.0,600.0,2.0,1400,65,12,12,138
138,d294bd539d8c70342149beb38b767afc,relogios_presentes,50.0,295.0,1.0,650,13,11,12,139
139,fe9184887637170f6da65623475d6a66,construcao_ferramentas_construcao,37.0,2457.0,1.0,600,26,17,17,140
140,ef22b718807d8b96162d9b021912f178,fashion_roupa_masculina,36.0,940.0,2.0,300,16,2,11,141
141,acfc0fd945c522a0d2266d45bcdd91c6,pet_shop,56.0,1545.0,2.0,625,21,16,17,142
142,e8f22df5fa5b454907286aa61d6216a8,fashion_calcados,57.0,404.0,2.0,1500,22,12,33,143
