id_produto,categoria,tamanho_nome,tamanho_descricao,quantidade_fotos,peso_g,comprimento_cm,altura_cm,largura_cm
96bd76ec8810374ed1b65e291975717f,esporte_lazer,46.0,250.0,1.0,154,18,9,15
cef67bcfe19066a932b7673e239eb23d,bebes,27.0,261.0,1.0,371,26,4,26
9dc1a7de274444849c219cff195d0b71,utilidades_domesticas,37.0,402.0,4.0,625,20,17,13
cf55509ea8edaaac1d28fdb16e48fc22,instrumentos_musicais,43.0,1827.0,3.0,250,17,7,17
eb31436580a610f202c859463d8c7415,construcao_ferramentas_seguranca,59.0,1602.0,4.0,200,17,7,17
a1b71017a84f92fd8da4aeefba108a24,informatica_acessorios,59.0,636.0,1.0,900,40,15,20
a0736b92e52f6cead290e30b578413b6,moveis_decoracao,56.0,296.0,2.0,1700,100,7,15
f53103a77d9cf245e579ea37e5ec51f0,cama_mesa_banho,52.0,206.0,1.0,500,16,10,16
e3e020af31d4d89d2602272b315c3f6e,beleza_saude,58.0,1987.0,3.0,75,21,7,13
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,56.0,209.0,1.0,1800,40,10,30
f6574524b07d5bb753bab6f35abe2d06,malas_acessorios,52.0,573.0,5.0,3600,35,25,50
c78b767da00efb70c1bcccab87c28cd5,informatica_acessorios,35.0,1101.0,2.0,300,42,2,30
a0253d43394dd4da9a5d7b1f546f1a32,informatica_acessorios,59.0,1890.0,2.0,740,23,13,13
e1d1d22e9f8122a4ec1533b032c12562,ferramentas_jardim,49.0,1163.0,9.0,2150,70,8,34
ce5b91848b91118daffb3af53b747475,esporte_lazer,50.0,699.0,4.0,1388,34,9,31
b8dac5113b06a97e64943234522572b9,automotivo,43.0,1062.0,2.0,6000,87,3,42
e6af694343b45b56304ad91974a110b9,utilidades_domesticas,37.0,352.0,1.0,3900,19,20,15
db46052aed7dff59ba38cf2fe29b87f9,cama_mesa_banho,56.0,509.0,4.0,6350,45,15,35
b864b103180d5a6a3f830e67f93e8735,bebes,47.0,980.0,4.0,600,70,11,11
bbf920aa6ac72007a726e6f419156f8f,moveis_decoracao,42.0,303.0,2.0,1300,25,16,25
c3b7e4d83e530c27a8e6368296aece48,moveis_decoracao,60.0,1972.0,2.0,850,69,11,11
c5d8079278e912d7e3b6beb48ecb56e8,beleza_saude,60.0,330.0,1.0,1300,19,28,17
b5cfb1d3c5e435a7a52227e08f220ee7,cool_stuff,55.0,410.0,2.0,1300,36,16,24
92bf5d2084dfbcb57d9db7838bac5cd0,telefonia,51.0,427.0,2.0,100,19,3,11
fdeb34a9f03fea7c3937dd62d1d0287e,cool_stuff,58.0,1252.0,1.0,1100,30,20,23
f8f6fd145cc00519283cf3100477b2b3,esporte_lazer,47.0,956.0,1.0,1050,25,20,14
dc21247da0290904ffbbcd5953c76f95,papelaria,41.0,92.0,1.0,100,16,5,16
9020ce7adcc384b2899ae87ddc54767b,papelaria,43.0,198.0,2.0,300,23,7,15
bfc1d1c62b1f7f401d8d9dda962bb870,esporte_lazer,50.0,255.0,2.0,950,60,15,15
94080f9219044d897195e2be145945dc,automotivo,60.0,1543.0,6.0,921,17,9,16
d0389f20b3d11de54e1e4561df147683,casa_construcao,55.0,1441.0,1.0,10000,60,25,25
a3a03c131926ec14d4c9f3ef03016b24,pet_shop,54.0,463.0,1.0,700,40,20,20
e586ebb6022265ae1eea38f46ffe3ead,beleza_saude,40.0,1469.0,3.0,1050,18,21,27
be1be330cf34043d1c40d6114cbd11b5,relogios_presentes,51.0,484.0,1.0,317,19,13,16
a3c95dc653d9a279b160bc0179385ed1,cama_mesa_banho,39.0,1146.0,1.0,1750,30,18,30
b1eae565a61935e0011ee7682fef9dc9,perfumaria,49.0,460.0,2.0,267,17,13,17
c2367eda4f9623d0355dc5d7796d857a,cama_mesa_banho,50.0,607.0,1.0,6450,100,10,11
