cep,cidade,uf,latitude,longitude
99990,muliterno,RS,-28.329594612121582,-51.76936149597168
99980,david canabarro,RS,-28.3891291985145,-51.8438359774076
99970,ciriaco,RS,-28.343838500976563,-51.8746223449707
99970,ciríaco,RS,-28.34232521057129,-51.87602233886719
99965,agua santa,RS,-28.183372179667156,-52.03985087076823
99960,charrua,RS,-27.953721618652345,-52.02551193237305
99955,vila langaro,RS,-28.110776710510255,-52.14372291564941
99955,vila lângaro,RS,-28.126163482666016,-52.144447326660156
99952,santa cecilia do sul,RS,-28.171198844909668,-51.90856742858887
99950,tapejara,RS,-28.06895861906164,-52.012067931929444
99940,ibiaca,RS,-28.057343329152754,-51.85598619522587
99940,ibiaçá,RS,-28.056610425313313,-51.856834411621094
99930,estacao,RS,-27.913832171209926,-52.259149354079675
99930,estação,RS,-27.916710535685223,-52.25523249308268
99925,ipiranga do sul,RS,-27.93672604031033,-52.42664464314779
99920,erebango,RS,-27.85525369644165,-52.30090618133545
99910,floriano peixoto,RS,-27.8589604695638,-52.075286865234375
99900,getulio vargas,RS,-27.886765270698362,-52.228401277123425
99900,getúlio vargas,RS,-27.886073303222656,-52.22879409790039
99895,santo expedito do sul,RS,-27.930038070678712,-51.659680938720705
99890,maximiliano de almeida,RS,-27.63177846825641,-51.804719676142156
99880,machadinho,RS,-27.56786012649536,-51.668006896972656
99878,tupanci do sul,RS,-27.922619819641113,-51.53873062133789
99870,sao jose do ouro,RS,-27.81340283763652,-51.58352412009726
99870,são josé do ouro,RS,-28.22743511199951,-51.48959255218506
99860,cacique doble,RS,-27.772162605734433,-51.66196037741268
99855,sao joao da urtiga,RS,-27.99637010362413,-52.226765950520836
99855,são joão da urtiga,RS,-27.816570663452147,-51.83005294799805
99850,paim filho,RS,-27.71013710715554,-51.763304623690516
99840,sananduva,RS,-27.950143232578185,-51.80988623456257
99839,gaurama,RS,-27.586950302124023,-52.09247970581055
99838,centenario,RS,-27.765792846679688,-52.00371742248535
99835,aurea,RS,-27.69549306233724,-52.05341498057047
99835,áurea,RS,-27.695009231567383,-52.055076599121094
99830,gaurama,RS,-27.587031364440918,-52.09274838765462
99825,carlos gomes,RS,-27.71592426300049,-51.91482162475586
99820,viadutos,RS,-27.5696717775785,-52.02140544011043
99810,severiano de almeida,RS,-27.43156978062221,-52.1173346383231
99800,marcelino ramos,RS,-27.47026797703334,-51.91810117449079
99795,barra do rio azul,RS,-27.410053253173828,-52.41363652547201
99790,mariano moro,RS,-27.351151875087194,-52.14494923182896
99770,aratiba,RS,-27.39387901969578,-52.300792196522586
99760,itatiba do sul,RS,-27.383730951944987,-52.45613174438476
99750,erval grande,RS,-27.392643247331893,-52.569085529872346
99740,barao de cotegipe,RS,-27.616403479325143,-52.38149723253752
99740,barão de cotegipe,RS,-27.620882034301758,-52.37341562906901
99735,ponte preta,RS,-27.65757417678833,-52.49106216430664
99730,jacutinga,RS,-27.728956010606552,-52.536535051133896
99725,tres arroios,RS,-27.499761962890624,-52.14971237182617
99725,três arroios,RS,-27.497587203979492,-52.15469741821289
99720,quatro irmaos,RS,-27.819812138875324,-52.44512430826823
99718,paulo bento,RS,-28.096654176712036,-52.34450054168701
99714,erechim,RS,-27.652544657389324,-52.29883416493734
99713,erechim,RS,-27.641872617933487,-52.29820887247721
99712,erechim,RS,-27.63828754425049,-52.311553137642996
99711,erechim,RS,-27.6394740809565,-52.28722804525624
99709,erechim,RS,-27.64977669071507,-52.27326454987397
99708,erechim,RS,-27.658285670810276,-52.26099756028917
99706,erechim,RS,-27.650054083930122,-52.24938413831923
99705,erechim,RS,-27.6413516998291,-52.24053028651646
99704,erechim,RS,-27.640412823184505,-52.25464822957804
99702,erechim,RS,-27.62486966451009,-52.24761390686035
99701,erechim,RS,-27.627115076238457,-52.25863994251598
99700,erechim,RS,-27.63604572927876,-52.2730490933558
99690,liberato salzano,RS,-27.600218155804804,-53.07488228293026
99687,novo xingu,RS,-27.747953414916992,-53.06234995524088
99680,constantina,RS,-27.732242584228516,-52.99501592462713
99675,tres palmeiras,RS,-27.614102959632874,-52.84469223022461
99675,três palmeiras,RS,-27.61418342590332,-52.84377670288086
99670,ronda alta,RS,-27.78222230764536,-52.80650036151592
99665,cruzaltense,RS,-27.662394332885743,-52.65655517578125
99660,campinas do sul,RS,-27.71786634383663,-52.62398221415858
99655,faxinalzinho,RS,-27.421768188476562,-52.67502085367838
99650,benjamin constant do sul,RS,-27.515351704188756,-52.59304700578962
99645,entre rios do sul,RS,-27.531259536743164,-52.73146947224935
99640,sao valentim,RS,-27.559213365827286,-52.52449771336147
99640,são valentim,RS,-27.559358596801758,-52.524009704589844
99615,trindade do sul,RS,-27.524813969930012,-52.89676078160604
99610,rio dos indios,RS,-27.305193424224854,-52.84202289581299
99605,gramado dos loureiros,RS,-27.44189516703288,-52.91480000813802
99600,nonoai,RS,-27.368607393900554,-52.77330652872721
99590,rondinha,RS,-27.829907841152615,-52.90819549560547
99585,barra funda,RS,-27.923880259195965,-53.04198328653971
99580,nova boa vista,RS,-27.992458152770997,-52.98095169067383
99560,sarandi,RS,-27.93904618349942,-52.92636295665394
99530,chapada,RS,-28.061001707867877,-53.06614889749667
99528,coqueiros do sul,RS,-28.118553161621094,-52.78245290120443
99525,santo antonio do planalto,RS,-28.40026071336534,-52.69416766696506
99525,santo antônio do planalto,RS,-28.395346641540527,-52.68989562988281
99523,almirante tamandare do sul,RS,-28.116015593210857,-52.91471481323242
99523,almirante tamandaré do sul,RS,-28.111053466796875,-52.9173469543457
99500,carazinho,RS,-28.291244619400775,-52.79025572479748
99495,lagoa dos tres cantos,RS,-28.56729030609131,-52.85889720916748
99495,lagoa dos três cantos,RS,-28.57036781311035,-52.8426513671875
99490,tapera,RS,-28.627901306152342,-52.86988296508789
99470,nao-me-toque,RS,-28.46127811132693,-52.819332048004746
99470,não-me-toque,RS,-28.460150774787454,-52.819298912497125
99460,colorado,RS,-28.521722440366393,-52.99280279654044
99457,jacuizinho,RS,-29.035853068033855,-53.041768391927086
99450,selbach,RS,-28.630116119384766,-52.95419189453125
99440,salto do jacui,RS,-29.089314270019532,-53.21692543029785
99440,salto do jacuí,RS,-29.090243657430012,-53.20953496297201
99435,campos borges,RS,-28.88623755318778,-53.00127974010649
99430,alto alegre,RS,-28.780864397684734,-52.98918596903483
99400,espumoso,RS,-28.73067049358202,-52.84447512419327
99380,sao jose do herval,RS,-29.05072784423828,-52.29123153686523
