,Unnamed: 0,dt_util,dt_data,dt_diasemana,dt_diasemana_ord,dt_mesano,dt_mesano_ord,dt_trimestre,dt_trimestre_ord,dt_ano,sk_data
0,0,False,2015-01-01,Thursday,3,January-2015,1,2015-Q1,1,2015,1
1,1,True,2015-01-02,Friday,4,January-2015,1,2015-Q1,1,2015,2
2,2,False,2015-01-03,Saturday,5,January-2015,1,2015-Q1,1,2015,3
3,3,False,2015-01-04,Sunday,6,January-2015,1,2015-Q1,1,2015,4
4,4,True,2015-01-05,Monday,0,January-2015,1,2015-Q1,1,2015,5
5,5,True,2015-01-06,Tuesday,1,January-2015,1,2015-Q1,1,2015,6
6,6,True,2015-01-07,Wednesday,2,January-2015,1,2015-Q1,1,2015,7
7,7,True,2015-01-08,Thursday,3,January-2015,1,2015-Q1,1,2015,8
8,8,True,2015-01-09,Friday,4,January-2015,1,2015-Q1,1,2015,9
9,9,False,2015-01-10,Saturday,5,January-2015,1,2015-Q1,1,2015,10
10,10,False,2015-01-11,Sunday,6,January-2015,1,2015-Q1,1,2015,11
11,11,True,2015-01-12,Monday,0,January-2015,1,2015-Q1,1,2015,12
12,12,True,2015-01-13,Tuesday,1,January-2015,1,2015-Q1,1,2015,13
13,13,True,2015-01-14,Wednesday,2,January-2015,1,2015-Q1,1,2015,14
14,14,True,2015-01-15,Thursday,3,January-2015,1,2015-Q1,1,2015,15
15,15,True,2015-01-16,Friday,4,January-2015,1,2015-Q1,1,2015,16
16,16,False,2015-01-17,Saturday,5,January-2015,1,2015-Q1,1,2015,17
17,17,False,2015-01-18,Sunday,6,January-2015,1,2015-Q1,1,2015,18
18,18,True,2015-01-19,Monday,0,January-2015,1,2015-Q1,1,2015,19
19,19,True,2015-01-20,Tuesday,1,January-2015,1,2015-Q1,1,2015,20
20,20,True,2015-01-21,Wednesday,2,January-2015,1,2015-Q1,1,2015,21
21,21,True,2015-01-22,Thursday,3,January-2015,1,2015-Q1,1,2015,22
22,22,True,2015-01-23,Friday,4,January-2015,1,2015-Q1,1,2015,23
23,23,False,2015-01-24,Saturday,5,January-2015,1,2015-Q1,1,2015,24
24,24,False,2015-01-25,Sunday,6,January-2015,1,2015-Q1,1,2015,25
25,25,True,2015-01-26,Monday,0,January-2015,1,2015-Q1,1,2015,26
26,26,True,2015-01-27,Tuesday,1,January-2015,1,2015-Q1,1,2015,27
27,27,True,2015-01-28,Wednesday,2,January-2015,1,2015-Q1,1,2015,28
28,28,True,2015-01-29,Thursday,3,January-2015,1,2015-Q1,1,2015,29
29,29,True,2015-01-30,Friday,4,January-2015,1,2015-Q1,1,2015,30
30,30,False,2015-01-31,Saturday,5,January-2015,1,2015-Q1,1,2015,31
31,31,False,2015-02-01,Sunday,6,February-2015,2,2015-Q1,1,2015,32
32,32,True,2015-02-02,Monday,0,February-2015,2,2015-Q1,1,2015,33
33,33,True,2015-02-03,Tuesday,1,February-2015,2,2015-Q1,1,2015,34
34,34,True,2015-02-04,Wednesday,2,February-2015,2,2015-Q1,1,2015,35
35,35,True,2015-02-05,Thursday,3,February-2015,2,2015-Q1,1,2015,36
36,36,True,2015-02-06,Friday,4,February-2015,2,2015-Q1,1,2015,37
37,37,False,2015-02-07,Saturday,5,February-2015,2,2015-Q1,1,2015,38
38,38,False,2015-02-08,Sunday,6,February-2015,2,2015-Q1,1,2015,39
39,39,True,2015-02-09,Monday,0,February-2015,2,2015-Q1,1,2015,40
40,40,True,2015-02-10,Tuesday,1,February-2015,2,2015-Q1,1,2015,41
41,41,True,2015-02-11,Wednesday,2,February-2015,2,2015-Q1,1,2015,42
42,42,True,2015-02-12,Thursday,3,February-2015,2,2015-Q1,1,2015,43
43,43,True,2015-02-13,Friday,4,February-2015,2,2015-Q1,1,2015,44
44,44,False,2015-02-14,Saturday,5,February-2015,2,2015-Q1,1,2015,45
45,45,False,2015-02-15,Sunday,6,February-2015,2,2015-Q1,1,2015,46
46,46,True,2015-02-16,Monday,0,February-2015,2,2015-Q1,1,2015,47
47,47,True,2015-02-17,Tuesday,1,February-2015,2,2015-Q1,1,2015,48
48,48,True,2015-02-18,Wednesday,2,February-2015,2,2015-Q1,1,2015,49
49,49,True,2015-02-19,Thursday,3,February-2015,2,2015-Q1,1,2015,50
50,50,True,2015-02-20,Friday,4,February-2015,2,2015-Q1,1,2015,51
51,51,False,2015-02-21,Saturday,5,February-2015,2,2015-Q1,1,2015,52
52,52,False,2015-02-22,Sunday,6,February-2015,2,2015-Q1,1,2015,53
53,53,True,2015-02-23,Monday,0,February-2015,2,2015-Q1,1,2015,54
54,54,True,2015-02-24,Tuesday,1,February-2015,2,2015-Q1,1,2015,55
55,55,True,2015-02-25,Wednesday,2,February-2015,2,2015-Q1,1,2015,56
56,56,True,2015-02-26,Thursday,3,February-2015,2,2015-Q1,1,2015,57
57,57,True,2015-02-27,Friday,4,February-2015,2,2015-Q1,1,2015,58
58,58,False,2015-02-28,Saturday,5,February-2015,2,2015-Q1,1,2015,59
59,59,False,2015-03-01,Sunday,6,March-2015,3,2015-Q1,1,2015,60
60,60,True,2015-03-02,Monday,0,March-2015,3,2015-Q1,1,2015,61
61,61,True,2015-03-03,Tuesday,1,March-2015,3,2015-Q1,1,2015,62
62,62,True,2015-03-04,Wednesday,2,March-2015,3,2015-Q1,1,2015,63
63,63,True,2015-03-05,Thursday,3,March-2015,3,2015-Q1,1,2015,64
64,64,True,2015-03-06,Friday,4,March-2015,3,2015-Q1,1,2015,65
65,65,False,2015-03-07,Saturday,5,March-2015,3,2015-Q1,1,2015,66
66,66,False,2015-03-08,Sunday,6,March-2015,3,2015-Q1,1,2015,67
67,67,True,2015-03-09,Monday,0,March-2015,3,2015-Q1,1,2015,68
68,68,True,2015-03-10,Tuesday,1,March-2015,3,2015-Q1,1,2015,69
69,69,True,2015-03-11,Wednesday,2,March-2015,3,2015-Q1,1,2015,70
70,70,True,2015-03-12,Thursday,3,March-2015,3,2015-Q1,1,2015,71
71,71,True,2015-03-13,Friday,4,March-2015,3,2015-Q1,1,2015,72
72,72,False,2015-03-14,Saturday,5,March-2015,3,2015-Q1,1,2015,73
73,73,False,2015-03-15,Sunday,6,March-2015,3,2015-Q1,1,2015,74
74,74,True,2015-03-16,Monday,0,March-2015,3,2015-Q1,1,2015,75
75,75,True,2015-03-17,Tuesday,1,March-2015,3,2015-Q1,1,2015,76
76,76,True,2015-03-18,Wednesday,2,March-2015,3,2015-Q1,1,2015,77
77,77,True,2015-03-19,Thursday,3,March-2015,3,2015-Q1,1,2015,78
78,78,True,2015-03-20,Friday,4,March-2015,3,2015-Q1,1,2015,79
79,79,False,2015-03-21,Saturday,5,March-2015,3,2015-Q1,1,2015,80
80,80,False,2015-03-22,Sunday,6,March-2015,3,2015-Q1,1,2015,81
81,81,True,2015-03-23,Monday,0,March-2015,3,2015-Q1,1,2015,82
82,82,True,2015-03-24,Tuesday,1,March-2015,3,2015-Q1,1,2015,83
83,83,True,2015-03-25,Wednesday,2,March-2015,3,2015-Q1,1,2015,84
84,84,True,2015-03-26,Thursday,3,March-2015,3,2015-Q1,1,2015,85
85,85,True,2015-03-27,Friday,4,March-2015,3,2015-Q1,1,2015,86
86,86,False,2015-03-28,Saturday,5,March-2015,3,2015-Q1,1,2015,87
87,87,False,2015-03-29,Sunday,6,March-2015,3,2015-Q1,1,2015,88
88,88,True,2015-03-30,Monday,0,March-2015,3,2015-Q1,1,2015,89
89,89,True,2015-03-31,Tuesday,1,March-2015,3,2015-Q1,1,2015,90
90,90,True,2015-04-01,Wednesday,2,April-2015,4,2015-Q2,2,2015,91
91,91,True,2015-04-02,Thursday,3,April-2015,4,2015-Q2,2,2015,92
