,SK_Pedidos,en_destino,en_origem,SK_Localizacoes
0,1,,18498.0,18498.0
1,2,,18498.0,18498.0
2,3,,,
3,4,,,
4,5,,3685.0,3685.0
5,6,,3685.0,3685.0
6,7,,27722.0,27722.0
7,7,,27723.0,27723.0
8,8,,27722.0,27722.0
9,8,,27723.0,27723.0
10,9,,2170.0,2170.0
11,9,,2171.0,2171.0
12,10,,2170.0,2170.0
13,10,,2171.0,2171.0
14,11,,,
15,12,,,
16,13,,16630.0,16630.0
17,13,,16631.0,16631.0
18,14,,16630.0,16630.0
19,14,,16631.0,16631.0
20,15,,16630.0,16630.0
21,15,,16631.0,16631.0
22,16,,16630.0,16630.0
23,16,,16631.0,16631.0
24,17,,16630.0,16630.0
25,17,,16631.0,16631.0
26,18,,16630.0,16630.0
27,18,,16631.0,16631.0
28,19,,16630.0,16630.0
29,19,,16631.0,16631.0
30,20,,16630.0,16630.0
31,20,,16631.0,16631.0
32,21,,,
33,22,,,
34,23,,,
35,24,,,
36,25,,22964.0,22964.0
37,25,,22965.0,22965.0
38,26,,22964.0,22964.0
39,26,,22965.0,22965.0
40,27,,24729.0,24729.0
41,27,,24730.0,24730.0
42,28,,24729.0,24729.0
43,28,,24730.0,24730.0
44,29,,,
45,30,,,
46,31,,,
47,32,,,
48,33,,24402.0,24402.0
49,33,,24403.0,24403.0
50,34,,24402.0,24402.0
51,34,,24403.0,24403.0
52,35,,,
53,36,,,
54,37,,,
55,38,,,
56,39,,,
57,40,,,
58,41,,,
59,42,,,
60,43,,18421.0,18421.0
61,43,,18422.0,18422.0
62,44,,18421.0,18421.0
63,44,,18422.0,18422.0
64,45,,,
65,46,,,
66,47,,24402.0,24402.0
67,47,,24403.0,24403.0
68,48,,24402.0,24402.0
69,48,,24403.0,24403.0
70,49,,,
71,50,,,
72,51,,,
73,52,,,
74,53,,,
75,54,,,
76,55,,,
77,56,,,
78,57,,13335.0,13335.0
79,57,,13336.0,13336.0
80,58,,13335.0,13335.0
81,58,,13336.0,13336.0
82,59,,20615.0,20615.0
83,59,,20616.0,20616.0
84,60,,20615.0,20615.0
85,60,,20616.0,20616.0
86,61,,,
87,62,,,
88,63,,,
89,64,,,
90,65,,,
91,66,,,
92,67,,,
93,68,,,
94,69,,,
95,70,,,
96,71,,19167.0,19167.0
97,72,,19167.0,19167.0
98,73,,48.0,48.0
99,74,,48.0,48.0
100,75,,,
101,76,,,
102,77,,,
103,78,,,
104,79,,,
105,80,,,
106,81,,11037.0,11037.0
107,82,,11037.0,11037.0
108,83,,,
109,84,,,
110,85,,,
111,86,,,
112,87,,,
113,88,,,
114,89,,,
115,90,,,
116,91,,,
117,92,,,
118,93,,,
119,94,,,
120,95,,,
121,96,,,
122,97,,,
123,98,,,
124,99,,,
125,100,,,
126,101,,,
127,102,,,
128,103,,3619.0,3619.0
129,104,,3619.0,3619.0
130,105,,,
131,106,,,
132,107,,,
133,108,,,
134,109,,,
135,110,,,
136,111,,,
137,112,,,
138,113,,,
139,114,,,
140,115,,3576.0,3576.0
141,116,,3576.0,3576.0
142,117,,26987.0,26987.0
143,117,,26988.0,26988.0
144,118,,26987.0,26987.0
145,118,,26988.0,26988.0
146,119,,,
147,120,,,
148,121,,,
149,122,,,
150,123,,,
151,124,,,
152,125,,,
153,126,,,
154,127,,,
155,128,,,
156,129,,,
157,130,,,
158,131,,20577.0,20577.0
159,131,,20578.0,20578.0
160,132,,20577.0,20577.0
161,132,,20578.0,20578.0
162,133,,,
163,134,,,
164,135,,,
165,136,,,
166,137,,,
167,138,,,
168,139,,,
169,140,,,
170,141,,,
171,142,,,
172,143,,,
173,144,,,
174,145,,,
175,146,,,
176,147,,,
177,148,,,
178,149,,,
179,150,,,
180,151,,,
181,152,,,
182,153,,,
183,154,,,
184,155,,18498.0,18498.0
185,156,,18498.0,18498.0
186,157,,,
187,158,,,
188,159,,19734.0,19734.0
189,159,,19735.0,19735.0
190,160,,19734.0,19734.0
191,160,,19735.0,19735.0
192,161,,19734.0,19734.0
193,161,,19735.0,19735.0
194,162,,19734.0,19734.0
195,162,,19735.0,19735.0
196,163,,18604.0,18604.0
197,163,,18605.0,18605.0
198,164,,18604.0,18604.0
199,164,,18605.0,18605.0
200,165,,19883.0,19883.0
201,166,,19883.0,19883.0
202,167,,23470.0,23470.0
203,167,,23471.0,23471.0
204,168,,23470.0,23470.0
205,168,,23471.0,23471.0
206,169,,18498.0,18498.0
207,170,,18498.0,18498.0
208,171,,,
209,172,,,
210,173,,,
211,174,,,
212,175,,26196.0,26196.0
213,175,,26197.0,26197.0
214,176,,26196.0,26196.0
215,176,,26197.0,26197.0
216,177,,,
217,178,,,
218,179,,2103.0,2103.0
219,180,,2103.0,2103.0
220,181,,24518.0,24518.0
